标准名称,实体类型,所属对象,英文名或License Code,可识别别名,禁止混用,首版使用规则,资料来源,确认状态
LLMOps,产品线,,Sophon LLMOps,Sophon LLMOps;星环大模型运营平台;大模型运营平台;企业AI中台;LLMOps 3.0,单一组件;Astro,泛指整条产品线时使用；推荐时尽量落到五个产品域或具体组件,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29,待产品专家确认
Corpus Studio,产品域,LLMOps,Corpus Studio,星解;语料开发与管理;语料平台;语料工厂,Knowledge Lodge;传统结构化数据治理平台,用于多模态语料处理、增强、标注、评测和高质量数据生产,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29,待产品专家确认
Model Foundry,产品域,LLMOps,Model Foundry,星铸;模型工厂;模型与算力工厂;模型训练和算力运营,TokenFactory;单纯GPU资源池,负责模型与算力管理；TokenFactory 是其统一模型服务能力,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21,待产品专家确认
TokenFactory,组件,Model Foundry,TokenFactory,词元工厂;Token工厂;Token Factory;统一模型服务层;统一模型网关,Model Foundry;独立第六产品域,用于模型接入、路由、配额计量、故障切换和 Token 效能；不得脱离测试条件承诺性能,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：TokenFactory词元工厂.pptx#slide=10-11,待产品专家确认
Knowledge Lodge,产品域,LLMOps,Knowledge Lodge,星典;知识工程;知识管理工具;企业知识库平台,Corpus Studio;TKH,用于知识工程、检索增强、业务本体和知识服务；跨产品 TKH 边界需单独确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=13;page=29,待产品专家确认
Agent Go,产品域,LLMOps,Agent Go,星将;AgentGo;智能体开发平台;星构（历史名称）,AgentBox;Astro,当前 3.0 回答使用“星将”；识别到“星构”时提示旧名称并确认版本,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=3,待产品专家确认
AI Infra,产品域,LLMOps,AI Infra,企业级AI基础层;AI基础设施;统一治理底座;AI基础层,TDC AI服务版;单纯IaaS,负责统一资产、身份权限、安全审计、资源和运行治理；跨 TDC 边界需确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29;LLMOps3：平台介绍-AI转型 .pptx#slide=5,待产品专家确认
AgentBox,组件,Agent Go,AgentBox,智能体工作台;Agent工作台;在线VibeCoding平台;浏览器Vibe Coding,Agent Buddy;Agent Go,AgentBox 是构建网页应用和 Agent Buddy 的工作台，不是最终交付的数字员工,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=15;LLMOps3：AgentGo 智能体平台.pptx#slide=5,待产品专家确认
Agent Buddy,交付物,Agent Go,Agent Buddy,数字员工;专家数字员工;AI工作单元;企业数字员工,AgentBox;普通聊天角色,表示封装岗位、知识、技能、代码、工具、权限和会话能力的已发布数字员工,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=15;LLMOps3：平台介绍-AI转型 .pptx#slide=10,待产品专家确认
Agent Session Manager,组件,Agent Go,Agent Session Manager,会话控制平面;统一会话管理;Agent会话管理器;ASM,企业微信机器人本身;模型网关,用于跨 Agent、跨渠道会话、审计、Memory、反馈和人工接管,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=17;LLMOps3：平台介绍-AI转型 .pptx#slide=11,待产品专家确认
