relative_path,extension,size_mb,version_or_period,modified_at,classification,recommended_use,risk_or_action,extraction_status,pages_slides_or_sheets,duplicate_of,sha256
.DS_Store,ds_store,0.01,未从文件名确认,2026-09-04T08:47:21.510Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3
部署相关材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:39:39.483Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,71264d0d5bc50f4c4516f3afbcd3d75402d3a9855929d7e8f6d40616845f755f
部署相关材料/(infinity-260后不适用)无涯问知TKH私有化安装部署新版安装手册-20250625.pdf,pdf,1.45,2025-06-25 / Infinity 2.6.0 后不适用,2026-09-04T08:44:39.437Z,C-历史或补充资料,历史部署方案追溯,文件已明确标注 Infinity 2.6.0 后不适用,ok,23 pages/slides,,65a4d70998ecc0bcda51076b7deaff8b04aba1836b45f95149004f13451ef4f6
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/.WeDrive,wedrive,0.00,Infinity 2.6.0+,2026-09-04T08:39:39.484Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,ebfd566e4a3e704d8d673874a07eda94a184ca6bfb64f54f64d711ac8675f41d
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/00用户手册-WUYA-138250339-160126-1836-1814.pdf,pdf,0.11,Infinity 2.6.0+,2026-09-04T08:44:21.985Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,10 pages/slides,,4a4fcb9bce8ca14167bd7e665e96393e0db83f2124eabb71027a49687ba60c98
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/部署服务端口使用情况V2.0.doc,doc,0.11,Infinity 2.6.0+,2026-09-04T08:44:31.758Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,0 pages/slides,,12ea61a9f265604113e1a7eb20766fff4d51f2420bec0f73d3cc04ec5a2d9ede
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/配置说明-WUYA-138250341-160126-1836-1816.pdf,pdf,0.10,Infinity 2.6.0+,2026-09-04T08:44:29.355Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,12 pages/slides,,23540f6b6a7298070203b39c00583f4766044ce1152ed3c3c57946324a78958c
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/Extra deploy手册-WUYA-138252118-160126-1836-1810.pdf,pdf,0.07,Infinity 2.6.0+,2026-09-04T08:44:07.444Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,2 pages/slides,,520c3e45e16214f233a7ac2cfd5aa5bb2dfd81dc431df81d06fc4ea3de10902e
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/ModelManager部署手册-WUYA-138257806-160126-1836-1812.pdf,pdf,0.09,Infinity 2.6.0+,2026-09-04T08:44:14.823Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,7 pages/slides,,a53dc7a11e6d15acbd87e5c34bf27b3f7078de62b6d8e23743360ff7c5b7b9cf
部署相关材料/无涯问知部署手册（infinity-2.6.0之后适用）/WUYA-前端OEM配置指南-20251124.pdf,pdf,8.78,Infinity 2.6.0+,2026-09-04T08:44:35.926Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,16 pages/slides,,f2957aeaff70c04dc38ed401512e8036c729104a140534d26b445508240c7428
部署相关材料/deepseek模型+问知部署要求.xlsx,xlsx,0.01,未从文件名确认,2026-09-04T08:44:36.168Z,B-首版条件入库,部署、资源、端口或 OEM 专项问题,可能含内部架构与配置，不进入普通功能推荐,ok,1 sheets,,3e5914b33c13c9700e4571ea99d70d00987ad7fb70c6309bc96c542540aae807
产品手册与白皮书/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:04.823Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,1e620b4f819e37c62adc92ea105f3329f8272ffb32b1e6289c5bc72edbfc3e7a
产品手册与白皮书/白皮书/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:04.825Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,7ae28eb134c1cb63bd423c7e51230f3134982331c9231537b9ae091d8f488c85
产品手册与白皮书/白皮书/问数白皮书V2.0_20250718.pdf,pdf,19.57,V2.0 / 2025-07-18,2026-09-04T08:45:07.699Z,A-首版核心入库,问数定位、NL2SQL、分析、治理、权限和场景,与 TDS 的组合和数据库支持需按版本确认,ok,12 pages/slides,,3e80b92e7dacb751a62c24d477e3ec38180874a7e614dd7a4e625eb2ffd60d37
产品手册与白皮书/白皮书/问数白皮书V2.0(简版)_20250718.pdf,pdf,1.93,V2.0 / 2025-07-18,2026-09-04T08:45:21.990Z,C-历史或补充资料,快速浏览和人工培训,与完整版内容重叠，不重复作为首版主证据,ok,2 pages/slides,,b00a8843b92380264897aff3a24d493e5ccd75f57e8ca6e872038a146f7e249c
产品手册与白皮书/白皮书/问知白皮书V2.0_20250718.pdf,pdf,27.85,V2.0 / 2025-07-18,2026-09-04T08:45:18.730Z,A-首版核心入库,问知产品定位、知识问答、写作、助手、权限和部署形态,公有云预置数据与私有化能力必须区分,ok,16 pages/slides,,b8ecae113d030b432997ff7bbb4d8d81c122c69b3100fd76ab71f70bef815ed8
产品手册与白皮书/白皮书/问知白皮书V2.0(简版)_20250718.pdf,pdf,7.83,V2.0 / 2025-07-18,2026-09-04T08:44:54.122Z,C-历史或补充资料,快速浏览和人工培训,与完整版内容重叠，不重复作为首版主证据,ok,2 pages/slides,,a61ed60f2bdf8c31611baaadd6c2204120b95448a87e8815f5f0992f57c68da9
产品手册与白皮书/白皮书/THK白皮书V2.0(简版)_20250718.pdf,pdf,5.94,V2.0 / 2025-07-18,2026-09-04T08:45:26.632Z,C-历史或补充资料,快速浏览和人工培训,与完整版内容重叠，不重复作为首版主证据,ok,2 pages/slides,,849894cd3eb3b4a8407895104b7f3f7683aa83c41a3efb14164519ddfa5af2e7
产品手册与白皮书/白皮书/THK白皮书V3.0(简版).pdf,pdf,8.84,TKH V3.0,2026-09-04T08:45:30.154Z,A-首版核心入库,TKH 平台、问知、问数和知识门户的当前总览,文件名 THK 疑似 TKH 拼写错误，需产品专家确认,ok,2 pages/slides,,c9b2fcb4ad83cdccf5753aea3656e848caaf8a7c55b371d0d3f8e5c8708b83d3
产品手册与白皮书/白皮书/TKH白皮书V2.0_20250718.pdf,pdf,31.62,V2.0 / 2025-07-18,2026-09-04T08:45:13.898Z,B-首版条件入库,条件检索的产品补充说明,需先确认产品、版本、部署形态和客户场景,ok,18 pages/slides,,d9065983284a3066411758c72c41afd0083c4b857c187396fd7d65de72d2b0f2
产品手册与白皮书/TKH User Manual V2.4.1.docx,docx,13.92,TKH 2.4.1,2026-09-04T08:45:41.901Z,B-首版条件入库,TKH 2.4.1 旧版菜单和操作追溯,不能据此承诺 2.6.0 或当前版本能力,ok,2 pages/slides,,199e27611d82d13b0da731f32908fc4d75bf8206f1822042d1a0d5eb8866286a
产品手册与白皮书/TKH平台产品使用手册V2.4.1.docx,docx,17.96,TKH 2.4.1,2026-09-04T08:46:00.655Z,B-首版条件入库,TKH 2.4.1 旧版菜单和操作追溯,不能据此承诺 2.6.0 或当前版本能力,ok,2 pages/slides,,49d7f9e354e4bf8cf284723f75380be656119bc9c7ac1e938d1c8f0e2b171bb3
问数材料(1)/问数产品材料/白皮书/问数白皮书V2.0_20250718.pdf,pdf,19.57,V2.0 / 2025-07-18,2026-09-04T08:49:46.569Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,12 pages/slides,产品手册与白皮书/白皮书/问数白皮书V2.0_20250718.pdf,3e80b92e7dacb751a62c24d477e3ec38180874a7e614dd7a4e625eb2ffd60d37
问数材料(1)/问数产品材料/白皮书/问数白皮书V2.0(简版)_20250718.pdf,pdf,1.93,V2.0 / 2025-07-18,2026-09-04T08:49:29.508Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,2 pages/slides,产品手册与白皮书/白皮书/问数白皮书V2.0(简版)_20250718.pdf,b00a8843b92380264897aff3a24d493e5ccd75f57e8ca6e872038a146f7e249c
问数材料(1)/问数产品材料/测试材料/测试报告/星环科技产品无涯问数与银河麒麟高级服务器操作系统(海光版)V10适配认证测试报告-20251014.docx,docx,8.23,未从文件名确认,2026-09-04T08:49:23.904Z,C-测试证据库,对应版本的测试范围、环境和缺陷追溯,含内部环境信息；不参与普通售前推荐,ok,4 pages/slides,,3a208e1093bdd450ac66c8c2a463e92fb517b34802b5f34127604d80a948fd50
问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告.docx,docx,9.69,2.5.x,2026-09-04T08:49:13.268Z,C-测试证据库,对应版本的测试范围、环境和缺陷追溯,含内部环境信息；不参与普通售前推荐,ok,1 pages/slides,,d67c067ca8edd191a1cac4dd88a36a635edbb8f372369de5524d578ab61587ec
问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告+鲲鹏海光.docx,docx,24.17,2.5.x,2026-09-04T08:49:24.399Z,C-测试证据库,对应版本的测试范围、环境和缺陷追溯,含内部环境信息；不参与普通售前推荐,ok,1 pages/slides,,d28d39f1f852bc669b8ff101c2202c7407ba897e95551c9ddca47edeb2e95a10
问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.7.0 测试报告.docx,docx,20.66,Logits 2.7.0,2026-09-04T08:49:15.113Z,C-测试证据库,对应版本的测试范围、环境和缺陷追溯,含内部环境信息；不参与普通售前推荐,ok,1 pages/slides,,9170ee5124b07cd5ae29356b1306c81a23079727c0e60a9e9ae2720ec0a449fe
问数材料(1)/问数产品材料/功能清单/无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx,xlsx,0.02,Logits 2.x（具体版本待确认）,2026-09-04T08:49:21.848Z,A-首版核心入库,问数 2.x 功能、版本和数据库支持的细粒度证据,文件名版本为 2.X.0，具体可售版本需确认,ok,2 sheets,,08b7ed525474973a1b9f17c3ae23c0e999a383aea08e3c3c49d6b00d3356aefe
问数材料(1)/问数产品材料/相关认证和专利/IPI2501122-一种渐进式自然语言到结构化查询语言的方法和系统-专利申请受理通知书.pdf,pdf,0.25,未从文件名确认,2026-09-04T08:49:31.533Z,C-认证证据库,对应兼容性、认证或专利问题的专项举证,只证明文件所载范围，不能扩大为全部版本承诺,ok,1 pages/slides,,59c2b19651ce68ba4a90bc5fe076061288344b74061c230139d8f3d8f18c7d47
问数材料(1)/问数产品视频/问数产品演示20151104.mp4,mp4,75.88,未从文件名确认,2026-09-04T08:50:58.464Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,82b5a6af6b561110a1076c85b9615a1d5686228f4d53d248d65817652f6b2abd
问数材料(1)/问数产品视频/问数产品演示20260630.MOV,mov,52.22,2026-06-30,2026-09-04T08:50:54.641Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,b7500b7272d9363765fad53ad3de601076c7ecfc9463fbf87676db5df37f8d95
问数材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.909Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,a390fa5a4419cfe0fe4215f30e62a86a95340cd31cf34f4f65fc751cf2d5e173
问数材料/问数产品材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.912Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,52d7bbff651ba30c2ade4f1866d32f3843ed1ad925165e14ca5ed912ed118628
问数材料/问数产品材料/安装部署文档/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.923Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,8d6736e2eb41e218d00edb8981bb0d043659ea9981cf2710f14d2e95e47fedc0
