客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
客户要建设企业级数据湖，统一存放海量、多类型数据,企业级数据湖,TDH数据湖,TDH 数据湖版,TDH 湖仓版,数据湖版面向大规模多类型数据汇聚、存储和高性能批处理；若还要传统数仓能力再比较湖仓版,重点是数据湖底座和批处理；无需强事务,需要纯OLTP或亚秒级核心交易分析时不适用,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2;TDH&ArgoDB license功能点.xlsx#Inceptor!A46:H59,待产品专家确认
客户现有CDH，希望用国产商业平台替代,CDH平台替代,数据湖替代,TDH 数据湖版,TDH 湖仓版,售卖资料将数据湖版定位为CDH替代；若同时替代MPP数仓则升级为湖仓版,现有负载以Hadoop批处理和数据湖为主,若主要是高并发数据集市或实时事务分析需重新选型,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2;slide=9,待产品专家确认
客户要求数据分钟级准实时入湖，入湖后可以SQL查询,准实时数据入湖,实时数据湖,TDH 数据湖版,TDH 湖仓集一体版,数据湖版支持实时流式写入和分钟级准实时入湖；需要增量加工链路时选湖仓集一体版,分钟级时效；主要是入湖和查询,要求亚秒级实时可见或核心交易分析时优先比较ArgoDB AP,TDH&ArgoDB license功能点.xlsx#Inceptor!A46:H56;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2,待产品专家确认
客户要给业务部门做灵活查询和交互式分析,交互式分析,数据集市,TDH 集市版,TDH 湖仓集一体版,集市版专门面向交互式分析和即席查询；如果还需要湖仓共用同一份数据则选湖仓集一体版,独立数据集市或业务分析平台,仅有离线批处理需求时不应优先集市版,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=13;TDH&ArgoDB license功能点.xlsx#Inceptor!A60:H67,待产品专家确认
客户有固定报表、手机银行明细查询、一表通等高并发分析,高并发报表与明细查询,高性能数据集市,TDH 集市版,TDH 湖仓集一体版,集市版针对固定报表、灵活查询和高并发明细查询；湖仓集一体版适合同时承载湖仓加工,数据已进入集市且查询并发高,强实时同步到核心交易流程时需比较ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2;slide=13,待产品专家确认
客户需要5000列以上超宽表做指标查询,超宽表指标分析,宽表数据集市,TDH 集市版,TDH 湖仓集一体版,License矩阵显示集市版和湖仓集一体版支持超宽表与部分列更新,指标类宽表和OLAP分析,高并发在线点查若以HBase型负载为主需比较Hyperbase,TDH&ArgoDB license功能点.xlsx#Inceptor!A60:H67,待产品专家确认
客户不想再维护Hadoop和MPP两套平台，希望湖和仓统一,湖仓一体,湖仓融合,TDH 湖仓版,TDH 湖仓集一体版,湖仓版通过统一平台融合数据湖和数据仓库并减少跨平台数据搬运,需要湖仓共用数据且包含传统数仓负载,还需要高性能数据集市或实时增量计算时选湖仓集一体版,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=17;slide=40,待产品专家确认
客户要迁移Oracle、Db2或Teradata数仓，保留方言和存储过程,传统数仓语法兼容,数仓迁移,TDH 湖仓版,TDH 湖仓集一体版,湖仓版及湖仓集一体版支持Oracle PL/SQL、Db2 SQL PL和Teradata方言,明确需要传统数仓语法与存储过程迁移,纯数据湖或数据集市场景不应因此选择湖仓版,TDH&ArgoDB license功能点.xlsx#Inceptor!A68:H72;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=36,待产品专家确认
客户现有架构是Hadoop加MPP，希望一体化替换,Hadoop加MPP替代,湖仓一体替换,TDH 湖仓版,TDH 湖仓集一体版,湖仓版定位为替代湖仓分离的Hadoop+MPP混合架构,客户同时存在数据湖和传统数仓负载,如果还包含Doris或ClickHouse集市层则优先湖仓集一体版,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=17;slide=40,待产品专家确认
客户希望一张表同时服务数据湖、数仓和数据集市,一表多用,湖仓集一体,TDH 湖仓集一体版,ArgoDB AP,湖仓集一体版统一湖仓集元数据并支持一张表承担批处理和OLAP；更强实时性再比较ArgoDB AP,需要湖、仓、集多种负载共享同一份数据,纯实时核心交易分析或纯OLTP不适用,TDH&ArgoDB license功能点.xlsx#Inceptor!A73:H78;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=20,待产品专家确认
客户要求批处理和在线查询互不影响，需要读写分离,读写分离与负载隔离,湖仓集混合负载,TDH 湖仓集一体版,ArgoDB AP,湖仓集一体版支持一张表上的读写资源隔离和独立计算逻辑集群,同一数据底座同时存在重批处理和核心查询,单一离线批处理或单一OLTP场景无需该Edition,TDH&ArgoDB license功能点.xlsx#Inceptor!A73:H78;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=20,待产品专家确认
