relative_path,extension,size_mb,pages_or_slides,classification,recommended_use,risk_or_action,extraction_status,extracted_chars,sha256
.DS_Store,[no-extension],0.01,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,47,4fc92ee99d298e648f4d2f65aaa514752ecc59f81d7b8a220255a88152df2957
0.产品介绍/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,52,4541ddf54ee8a30ec511b7341e351d30203b72a31f9ad36ce55095ab90ccdc27
0.产品介绍/202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx,.pptx,9.52,19,A-首版核心入库,只取 TDH 售卖版本、升级路径和产品组合口径；内部资料，不导出价格或策略性表述,按章节切分并保留来源、版本、密级,ok,8802,f4f36fdb12436742ad5e2a98cd320f117e9109baa5ccafff59a3b98643c686e5
0.产品介绍/Quark-lite 产品介绍（面向客户）.doc,.doc,0.05,,B-首版条件入库,仅当首版覆盖 Quark/即席分析问题时导入，标记为专项组件资料,只有命中对应场景时参与检索,ok,3126,04698b35f1ddc5f5f9b10a3b3138947c46394777f00197e74372cc08a16f80fb
0.产品介绍/TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx,.pptx,15.18,42,A-首版核心入库,用于版本定位、适用场景和 TDH/ArgoDB 边界；版本事实须由 9.5 wiki 覆盖,按章节切分并保留来源、版本、密级,ok,19325,5e802fa14c0ef30c833fdb24dfff8875c01cad225f3cafc668ca1fba913a8797
0.产品介绍/TDH 9.5 产品wiki.pdf,.pdf,0.12,5,A-首版核心入库,作为 9.5 版本、组件、依赖和升级限制的最高优先级事实源,按章节切分并保留来源、版本、密级,ok,6114,c0322cacb5acc3d36145461915d6cb054b018effbe8a53e632626735b4db10a4
0.产品介绍/TDH 9.5 产品培训.pptx,.pptx,19.53,48,A-首版核心入库,用于 TDH 定位、核心能力、典型场景和销售解释,按章节切分并保留来源、版本、密级,ok,24714,4fdf2d4c95578bb8f95513a19587e5e7e518543c139c40da614a219733b2833d
0.产品介绍/arichive/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,61,fc20372d71ce7696c1a45db2242982866774feb7f2bb400643058291a6ae9aa9
2.售前招投标与证明相关材料/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,60,03587812af457d9d135f61ced23630168df172e317342fae765d11f84c83fed2
2.售前招投标与证明相关材料/1.解决方案材料/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,69,d694937a7c89641f10a54a159f76dac2e3bc1bb5ae1ef6bbc539680c465a42c7
