映射编号,销售复合需求,能力拆分,主推组合,产品分工,可选组合,适用条件,必须追问,排除条件,资料来源,资料冲突,推荐置信度,产品专家,审核状态,优化备注
WUYA-M001,建设多模态企业知识库并提供可溯源问答,多模态解析;知识库;RAG;原文引用;组织权限,TKH + 无涯·问知,TKH：企业知识平台与权限；无涯·问知：知识接入、检索、问答和引用,增加知识门户进行统一编目与共享,主要数据是文档、图片、音视频等知识内容,知识规模、格式、组织权限、部署方式和目标并发是什么？,若核心是结构化数据库查询，应增加无涯·问数,问知白皮书V2.0_20250718.pdf#page=3-10;THK白皮书V3.0(简版).pdf#page=1-2,无,高,待指定,待产品专家确认,
WUYA-M002,统一管理企业知识并让员工检索、问答和写作,知识编目;统一权限;检索;问答;写作,TKH + 知识门户 + 无涯·问知,知识门户：编目、检索和共享；无涯·问知：RAG 问答、助手和写作；TKH：统一平台,问知企业版,客户需要组织级知识运营,当前知识系统、目录、权限、内容 Owner 和写作场景是什么？,知识门户不替代内容治理责任和审核,问知白皮书V2.0_20250718.pdf#page=6-11,无,高,待指定,待产品专家确认,
WUYA-M003,用内部资料、数据库和互联网生成可追溯研究报告,内部知识;数据库查询;互联网检索;研究框架;报告大纲;溯源,无涯·问知 + 问知深度研究助手 + 无涯·问数,问知：知识与报告交互；深度研究助手：研究规划和工具编排；问数：结构化数据查询,数据库查询可由客户现有工具或 MCP 替代,需要复杂研究而非简单知识问答,数据源、研究框架、报告模板、审批人和时效要求是什么？,不承诺未经人工复核的投资或重大决策结论,无涯问知深度研究助手产品介绍.pptx#slide=1-6;问知白皮书V2.0_20250718.pdf#page=9,无,高,待指定,待产品专家确认,
WUYA-M004,小团队需要开箱即用的本地知识问答一体机,本地知识;本地模型;软硬一体;团队访问,无涯问知AI工作站,AI工作站：预装问知、模型和硬件，提供小团队本地知识问答,问知企业版 + 客户自备服务器,团队规模和并发符合正式配置,人数、并发、模型、知识量、国产化和网络隔离要求是什么？,配置和 tokens/s 必须按正式方案或 PoC 验证,无涯问知AI工作站产品介绍202601.pptx#slide=1-3,无,中,待指定,待产品专家确认,
WUYA-M005,基于治理好的数据让业务人员自然语言问数并追问分析,数据治理;业务语义;NL2SQL;多轮;可视化;权限,TDS + 无涯·问数,TDS：元数据、指标、标签、口径和权限治理；无涯·问数：自然语言查询、分析、追问和图表,数据准备简单时可先部署无涯·问数独立管理端,已有治理成果或可完成主体与语义准备,数据库、表关系、指标口径、权限、版本和准确率验收题是什么？,问数不替代完整数据治理平台,问数白皮书V2.0_20250718.pdf#page=4-9;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,无,高,待指定,待产品专家确认,
WUYA-M006,客户没有TDS但想快速用Excel或少量数据库试点智能问数,轻量数据接入;分析主体;自然语言查询;图表,无涯·问数,问数独立管理端：数据源、单表或 Excel 主体、场景和问答；业务人员：确认口径,后续扩展为 TDS + 无涯·问数,数据规模和关系较简单，适合试点,数据来自 Excel 还是数据库？是否多表、权限复杂或有统一指标要求？,复杂多表治理和企业权限场景不应长期绕开 TDS,无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单;问数白皮书V2.0_20250718.pdf#page=7,无,高,待指定,待产品专家确认,
WUYA-M007,AI既要查企业知识又要进入ERP/OA完成催办和回填,知识问答;系统连接;流程执行;人工确认;审计,Co-Worker + 无涯·问知,无涯·问知：企业知识和可溯源问答；Co-Worker：跨系统执行、流程闭环和交付,增加 TDS 接入结构化指标,任务高频、规则明确且系统接口可用,要连接哪些系统、执行哪些动作、谁审批、如何验收？,只查不执行时无需强推 Co-Worker,Co-Worker.pptx#slide=2;slide=5-9;问知白皮书V2.0_20250718.pdf#page=3-5,无,高,待指定,待产品专家确认,
WUYA-M008,AI要查业务数据、分析异常并生成报告后发送或催办,自然语言问数;分析;报告;消息;流程闭环,Co-Worker + 无涯·问数,无涯·问数：查询、分析和可视化；Co-Worker：报告生成、消息发送、催办和任务闭环,增加 TDS 提供治理口径,数据库和业务系统可接入,数据源、报告模板、发送渠道、审批节点和时效是什么？,自动发送前必须设置人工确认和权限,Co-Worker.pptx#slide=2-9;问数白皮书V2.0_20250718.pdf#page=4-9,无,高,待指定,待产品专家确认,
WUYA-M009,数据治理任务需要智能识别、专业治理执行和跨系统协同,智能治理;治理工具;流程编排;任务执行;审计,Co-Worker + Astro + TDS,Astro：智能识别和治理建议；TDS：目录、质量、标准等专业治理执行；Co-Worker：跨系统任务编排、协同和交付,底座按数据场景选 TDH 或 ArgoDB,客户要的不只是查询，而是治理任务闭环,治理对象、实时性、底座、审批和写回范围是什么？,无涯·问数不承担数据采集、实时流动或完整治理执行；跨产品边界需产品专家确认,Co-Worker.pptx#slide=2;slide=7,有,中,待指定,待产品专家确认,
WUYA-M010,Co-Worker需要企业统一模型服务、算力和多模型治理,应用执行;模型接入;模型服务;算力;配额;审计,Co-Worker + Sophon LLMOps,Co-Worker：业务任务执行；LLMOps：模型接入、服务、算力与运营治理,按客户现有底座比较 TDC AI服务版,客户有多个模型、GPU 或多部门模型服务需求,现有模型、接口、GPU、并发、SLA、配额和部署形态是什么？,Co-Worker 本身不替代模型训练和算力运营平台；LLMOps 与 TDC AI 边界待项目确认,Co-Worker.pptx#slide=2;slide=9-10,有,中,待指定,待产品专家确认,
