映射编号,销售复合需求,能力拆分,主推组合,产品分工,可选组合,适用条件,必须追问,排除条件,资料来源,资料冲突,推荐置信度,产品专家,审核状态,优化备注
CP-M001,多源批量数据进入数据湖并完成开发,批量接入；SQL 开发；任务调度；数据湖存储,TDH 数据湖版 + TDS-SUITE-T,TDH：数据湖存储与批处理；TDS-SUITE-T：Transporter、SQLBook、Workflow 等接入与开发工具,TDH 湖仓版 + TDS-SUITE-T,以离线或批量接入为主，目标是 TDH 数据湖,是否同时需要实时同步、治理和数据服务？,若要求秒级写入即分析，应比较 ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M002,数据实时同步进入湖仓并对外提供数据服务,实时同步；湖仓沉淀；数据服务,TDH 湖仓集一体版 + TDS-SUITE-R,TDH：湖仓集存储与分钟级增量加工；TDS-SUITE-R：Flashsync 实时同步、Midgard 数据服务,TDH 湖仓集一体版 + TDS-SUITE-E,分钟级时效可接受，且希望湖仓集统一,目标时效是分钟、秒还是亚秒？是否还要完整开发治理？,亚秒级写入即分析优先比较 ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M003,实时数据进入分析数据库并同时做治理,实时同步；实时分析数据库；目录、标准、质量和分类,ArgoDB AP + TDS-SUITE-R + TDS-SUITE-D,ArgoDB AP：实时写入与分析；TDS-SUITE-R：实时同步和服务；TDS-SUITE-D：目录与治理,ArgoDB AP + TDS-SUITE-E,以 AP 分析负载为主，数据写入后需要快速查询,时效、数据源、是否包含事务、治理范围是什么？,核心事务也迁移时需比较 ArgoDB HTAP,ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M004,数据开发、治理和运维工具希望一次配齐,数据接入；开发；治理；服务；运维,TDH 或 ArgoDB 数据底座 + TDS-SUITE-E,TDH/ArgoDB：数据底座；TDS-SUITE-E：接入、开发、治理、服务和运维完整工具集,按范围拆分 TDS-SUITE-T + TDS-SUITE-D + TDS-SUITE-R,客户需要完整工具链，且底层平台已确定或可同步选型,底层是 TDH 还是 ArgoDB？是否所有 TDS 能力都需要？,不能把 TDS-SUITE-E 当作数据库或存储引擎,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M005,为现有数据平台补齐元数据目录、质量和分类分级,数据目录；治理；质量；分类分级,现有 TDH 或 ArgoDB + TDS-SUITE-D,TDH/ArgoDB：保存和处理数据；TDS-SUITE-D：Catalog、Governor、Defensor 治理能力,现有平台 + TDS-SUITE-E,底层平台可保留，主要缺少专业治理工具,是否还缺数据开发、实时同步或数据服务？,若只需要智能建议而无治理执行工具，不应只配 Astro,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,高,待指定,待产品专家确认,
CP-M006,现有平台既要专业治理又要智能化治理助手,治理工具；智能语义、标准、质量和分类；任务编排,TDH 或 ArgoDB + TDS-SUITE-D + Astro,TDH/ArgoDB：数据底座；TDS-SUITE-D：治理执行工具；Astro：智能体理解、生成并编排治理任务,TDS-SUITE-E + Astro,客户已有数据底座，希望在治理工具上叠加智能化,现有治理工具、允许 Astro 调用的接口和治理范围是什么？,Astro 不替代底层存储和治理执行工具,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；Astro白皮书-中文260717.pdf#第5-9页,无,高,待指定,待产品专家确认,
CP-M007,希望用自然语言自动发现数据并发起数据接入,资产发现；接入方案生成；接入任务执行；目标存储,TDH 或 ArgoDB + TDS-SUITE-T/R + Astro 数据发现与接入智能体,TDH/ArgoDB：目标数据底座；TDS：执行批量或实时接入；Astro：发现数据、理解需求并编排接入,第三方接入工具 + Astro API/MCP,接入工具可被 API/MCP 调用，且数据源权限已授权,数据源类型、批量或实时、目标平台和凭证边界是什么？,Astro 不能绕过权限直接读取未知数据源,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；Astro白皮书-中文260717.pdf#第5-9页,无,高,待指定,待产品专家确认,
CP-M008,自然语言生成开发代码并自动编排调度,代码生成；SQL 开发；任务调度；底层执行,TDH 或 ArgoDB + TDS-SUITE-T + Astro 代码生成与调度智能体,TDH/ArgoDB：执行与存储；TDS-SUITE-T：SQLBook、Workflow 等开发调度；Astro：代码生成和任务编排,现有第三方开发调度平台 + Astro API/MCP,已有可调用的数据开发工具，生成代码必须经过审核,开发语言、调度系统、发布审批和权限范围是什么？,不能承诺生成代码无需人工审核即可上线,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M009,自动发现资产、打标签并挂载到数据目录,资产发现；目录；资产标签；资产挂载,TDH 或 ArgoDB + TDS-SUITE-E + Astro 资产智能体,TDH/ArgoDB：资产所在底座；TDS Catalog：目录与资产管理；Astro：发现、标签和挂载智能化,TDS-SUITE-D + Astro,客户已有或计划建设统一数据目录,资产范围、目录系统和标签审批流程是什么？,资料对资产标签智能体口径有差异，需专家确认,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；Astro白皮书-中文260717.pdf#第5-9页,有,中,待指定,待产品专家确认,
CP-M010,把治理后的数据通过 API 对外服务并由智能助手编排,数据服务；权限；智能编排；API/MCP,TDH 或 ArgoDB + TDS-SUITE-E + Astro,TDH/ArgoDB：数据底座；Midgard/TDS：数据服务；Astro：通过 Pilot、API 或 MCP 编排调用,TDS-SUITE-R + Astro,需将已治理数据安全地开放给内部应用,服务对象、接口 SLA、权限审批和现有服务工具是什么？,Astro 不是数据服务网关，也不能绕过权限,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M011,分钟级业务数据入湖并同步完成基础治理,分钟级接入；数据湖；目录、质量和分类,TDH 数据湖版 + TDS-SUITE-T + TDS-SUITE-D,TDH：数据湖底座；TDS-SUITE-T：接入开发；TDS-SUITE-D：治理,TDH 湖仓集一体版 + TDS-SUITE-E,分钟级可接受，主要目标是入湖和治理,是否需要逐层增量加工、数据集市或亚秒分析？,秒级或亚秒级写入即分析需比较 ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M012,实时湖仓分层加工并叠加智能治理,分钟级增量加工；湖仓分层；治理；智能辅助,TDH 湖仓集一体版 + TDS-SUITE-D + Astro,TDH：湖仓集和增量加工；TDS-SUITE-D：治理执行；Astro：智能治理辅助,TDH 湖仓集一体版 + TDS-SUITE-E + Astro,重点是统一湖仓集和分钟级增量加工,端到端时效、分层模型和智能化范围是什么？,亚秒级实时仓优先比较 ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M013,秒级或亚秒级分析数据库配套完整治理,实时写入；低延迟分析；实时同步；治理,ArgoDB AP + TDS-SUITE-R + TDS-SUITE-D,ArgoDB AP：实时数仓与 AP 分析；TDS-SUITE-R：实时同步；TDS-SUITE-D：治理,ArgoDB AP + TDS-SUITE-E,分析负载为主，要求写入后快速分析,可接受延迟、写入方式、并发和治理范围是什么？,若事务是主负载，应比较 ArgoDB HTAP,ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M014,CRM、ERP 等事务系统同时需要实时分析和治理,高并发事务；分析；一致性；治理,ArgoDB HTAP + TDS-SUITE-D,ArgoDB HTAP：事务与分析混合数据库；TDS-SUITE-D：企业级数据治理,ArgoDB HTAP + TDS-SUITE-E,事务与分析并存，属于 B 类内部业务系统,事务并发、一致性、方言、迁移窗口和治理范围是什么？,纯 AP 数仓不应因有实时写入直接选 HTAP,【解决方案&销售培训】ArgoDB HTAP 架构演进与业务场景实践_v4（final）_2026.pptx#第5-25页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
