relative_path,extension,size_mb,pages_or_slides,version_or_period,modified_at,classification,recommended_use,risk_or_action,extraction_status,extracted_chars,sha256
02最佳实践/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:21:42,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,eb0c5a448a5be0087c85d1e7bcbc0c5b64d467767ed207612be09480c9556941
02最佳实践/历史备份/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:21:42,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,52f2c20c72957229d5d9bab7272d82d9e92760c38c1cab18f63ee601f9ea417e
04产品介绍/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:22:19,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,4f27e66fec1e96afeff28e5fa502e92447ef150bbc8b1034a152edcbef6dc7a6
04产品介绍/LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？-视频-1-共享屏幕.mp4,.mp4,177.43,69.3 minutes,LLMOps 3.0 / 2026-07-16,2026-09-03T17:31:44,B-首版条件入库,发布会录屏，用于人工复核当前版讲解,约 69.3 分钟；未形成经复核转写前不能单独支撑结论,metadata_and_thumbnail_checked,,09ddd7b24b66cf5dfba23b96a8d8a13b1da371bde665c742b70a3f8cb6c0b80f
04产品介绍/LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf,.pdf,6.04,29 pages,LLMOps 3.0 / 2026-07-16,2026-09-03T17:22:19,A-首版核心入库,LLMOps 3.0 五大产品域、Agent Engineering、售卖场景和组合边界,内部资料；竞品表述和性能口径不得直接对客输出,text_extracted,3631,ea33d3567e36cbcd28160d79576c2c05fd6860d0a0bbdc772a8aefde7d071eb8
04产品介绍/LLMOps3：AgentGo 智能体平台.pptx,.pptx,1.17,14 slides,LLMOps 3.0 / 2026,2026-09-03T17:22:26,A-首版核心入库,Agent Go、AgentBox、Vibe Coding 与 Harness Engineering 能力,外部统计、代码率和唯一性等宣传数字不作为通用承诺,text_extracted,10850,b4e1d0af212a86785086edb44511c7955d6c8a513459ea16c40de46464ead1a3
04产品介绍/LLMOps3：TokenFactory词元工厂.pptx,.pptx,20.40,14 slides,LLMOps 3.0 / 2026,2026-09-03T17:24:03,A-首版核心入库,TokenFactory 模型服务、路由、计量、效能和算力运营能力,性能提升数字依赖测试环境，回答时必须带条件或不展示,text_extracted,113,4d8fda1cefbcf60bed9a33bbc366546c2d783c69f6b7b5535c3d8a30ef56b12b
04产品介绍/LLMOps3：大模型时代下的AI中台.pptx,.pptx,17.19,22 slides,LLMOps 3.0 / 2026,2026-09-03T17:22:53,A-首版核心入库,LLMOps 3.0 产品结构、模型、知识、Agent 和企业级能力总览,与专项资料冲突时以更具体且更新的当前版资料为准,text_extracted,12276,a73d9c6e56a56935f6684749924985bc9f86d5de3fcded612a2c4bba78523b2d
04产品介绍/LLMOps3：平台介绍-AI转型 .pptx,.pptx,8.41,20 slides,LLMOps 3.0 / 2026,2026-09-03T17:23:00,A-首版核心入库,AI 工作单元、资产治理、发布门禁、运营闭环和 90 天落地路径,部分内容属于方法论或目标架构，具体已交付功能需按版本确认,text_extracted,0,b274df2370850cdade93a63df7c7c04767eb66ca83258011857b4fd105800ded
04产品介绍/LLMOps技术架构图.pptx,.pptx,0.44,8 slides,V2.0、V1.4、V1.3 混合,2026-09-03T17:23:02,B-首版条件入库,客户明确询问对应版本架构时条件检索,同一文件混有 V2.0、V1.4、V1.3 和历史备份，必须先确认版本,text_extracted,5178,bb9c68bc7839f1604cc4a4adaae63b0d0784098f0b032f2316b23687587aeb31
04产品介绍/产品使用手册获取方式/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:22:19,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,6936524c23de0c5c7eaabadadb6d8ee343d719a769ed7e732b32c3f98d69d6a0
04产品介绍/产品使用手册获取方式/Sophon_LLMOps_User_Manual-llm-1.4.3.pdf,.pdf,102.26,298 pages,v1.4.3 / 2025-06,2026-09-03T17:22:21,B-首版条件入库,旧版详细功能或操作追问的技术参考,仅证明 v1.4.3 能力，不能据此承诺 LLMOps 3.0 当前能力,text_extracted,147382,e28dc07faa5bd71ad7dc6c6d6d95977a23832d04d17745a876f95f2694be4d55
