标准名称,实体类型,所属对象,英文名或License Code,可识别别名,禁止混用,首版使用规则,资料来源,确认状态
TDH,产品,,Transwarp Data Hub,"星环大数据基础平台;Transwarp Data Hub;TDH平台",TDH Edition或组件,只在泛指产品线时使用；推荐时尽量落到Edition,TDH 9.5 产品培训.pptx#slide=3,待产品专家确认
TDH 数据工程版,Edition,TDH,DATA_ENGINEERING,"数据工程版;Inceptor数据工程版;Data Engineering Edition",TDH 数据湖版,不作为新客户默认推荐；仅识别存量或明确低成本传统批处理场景,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=3-6,待产品专家确认
TDH 数据湖版,Edition,TDH,DATALAKE,"数据湖版;Inceptor数据湖版;Data Lake Edition;DataLake",TDH 湖仓版,用于海量多类型数据汇聚、存储、批处理和分钟级准实时入湖,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2,待产品专家确认
TDH 集市版,Edition,TDH,DATAMART,"集市版;数据集市版;Inceptor集市版;Data Mart Edition;DataMart",TDH 湖仓集一体版,用于交互式分析、即席查询、固定报表和高并发明细查询,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=13,待产品专家确认
TDH 湖仓版,Edition,TDH,LAKEHOUSE,"湖仓版;湖仓一体版;Inceptor湖仓版;Lakehouse Edition;LakeHouse",TDH 湖仓集一体版,用于数据湖和数据仓库统一以及传统数仓方言/存储过程迁移,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=17,待产品专家确认
TDH 湖仓集一体版,Edition,TDH,LAKEHOUSE_MART,"湖仓集版;湖仓集一体版;Inceptor湖仓集版;Lakehouse Mart Edition;Lakehouse_Mart",旗舰版或ArgoDB AP,用于一表多用、批流一体、实时增量计算、读写分离和湖上建集,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=20,待产品专家确认
TDH 标准版,历史Edition,TDH,Standard Edition,"标准版;老标准版",TDH 数据工程版,只用于识别存量客户和升级路径；不向新客户推荐,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=4-6,待产品专家确认
TDH 专业版,历史Edition,TDH,Professional Edition,"专业版;老专业版",TDH 数据湖版,只用于识别存量客户和升级路径；不向新客户推荐,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=4-6,待产品专家确认
TDH 企业版,历史Edition,TDH,Enterprise Edition,"企业版;老企业版",TDH 湖仓版,只用于识别存量客户和升级路径；不向新客户推荐,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=4-7,待产品专家确认
TDH 旗舰版 PLUS,历史Edition,TDH,Flagship Plus Edition,"旗舰版;旗舰PLUS;旗舰版PLUS",TDH 湖仓集一体版,只用于识别存量客户；升级关系不能当作同义词,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=4-7,待产品专家确认
ArgoDB,产品,,ArgoDB,"Argo;星环ArgoDB",TDH或ArgoDB Edition,只在泛指数据库产品时使用；推荐时落到AP/TP/HTAP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=27,待产品专家确认
ArgoDB AP,Edition,ArgoDB,TDB-ARGO-RT,"ArgoDB AP版;Argo AP;实时分析版;高性能实时数仓数集版",TDH 湖仓集一体版,用于亚秒/秒级实时分析、实时ODS、持续增量计算和核心系统分析下移,TDH&ArgoDB license功能点.xlsx#ArgoDB!A1:D81,待产品专家确认
ArgoDB TP,Edition,ArgoDB,TP Edition,"ArgoDB TP版;Argo TP;事务版",ArgoDB HTAP,用于高并发强一致OLTP和传统MySQL类事务数据库替代,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=27,待产品专家确认
ArgoDB HTAP,Edition,ArgoDB,HTAP Edition,"ArgoDB HTAP版;Argo HTAP;HTAP版",ArgoDB AP或TP,用于同一平台同时处理事务和实时分析,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=27,待产品专家确认
TDC,产品族,,TDC,"星环云原生平台;云原生管理底座",TDH或TDS,用于承载平台管理类推荐；正式中英文全称仍需产品专家确认,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10,待产品专家确认
