客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
客户要统一管理文本、表格、图片、语音和视频语料,多模态语料管理,高质量语料生产,Corpus Studio,AI Infra + Catalog,Corpus Studio 面向多模态语料处理、标注、增强和评测,目标是建设可复用的训练或知识语料资产,若重点是业务知识检索与推理，应增加 Knowledge Lodge,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=7-8,待产品专家确认
客户要安全连接多个数据源并持续同步文件,数据连接与增量同步,语料数据接入,Corpus Studio + Connection + Sync Job,AI Infra,Connection、Sync Job、Document Record 分离凭证、同步策略和文件追踪,连接器在当前版本适配清单内，且需要持续更新,未确认连接器类型时不能承诺直接接入,LLMOps3：平台介绍-AI转型 .pptx#slide=6,待产品专家确认
客户要记录每个文件来源、版本、哈希和解析状态,文件来源与版本追踪,可追溯语料资产,Corpus Studio + Document Record,AI Infra + Catalog,Document Record 保存来源、版本、哈希、解析状态和删除影响,需要文件级追踪、重放和审计,只做知识检索而不管理来源时仍需评估 Knowledge Lodge,LLMOps3：平台介绍-AI转型 .pptx#slide=6,待产品专家确认
客户要对原始语料做过滤、去重和隐私处理,语料清洗与隐私处理,高质量语料治理,Corpus Studio,AI Infra,Corpus Studio 提供语料转换、过滤、去重和安全隐私处理流程,用于训练或知识库前的数据准备,传统结构化数据治理应比较 TDS，不能由本映射替代,LLMOps3：大模型时代下的AI中台.pptx#slide=7-8,待产品专家确认
客户要自动抽取、扩展或生成问答对,问答对加工与语料增强,问答语料生产,Corpus Studio,Knowledge Lodge + KB Agent,现有当前版材料描述问答对抽取、扩展、生成和语料增强能力,需要为训练或知识库准备问答语料,具体生成方式和版本支持范围需确认，不能保证生成质量,LLMOps3：大模型时代下的AI中台.pptx#slide=7-8,待产品专家确认
客户要给语料做标注、审核和质量评估,语料标注与评测,语料质量管理,Corpus Studio,AI Infra,Corpus Studio 覆盖标注、审核、质量评估和评测结果,需要形成可审核的高质量数据集,不等同于模型效果评测，模型评测应选 Model Foundry,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=7-8,待产品专家确认
客户要统一保存模型文件、版本和依赖关系,模型文件与版本管理,模型生命周期管理,Model Foundry,AI Infra + Catalog,Model Foundry 管理模型文件、版本、注册、准入和溯源,客户存在多个模型、版本和团队,仅调用外部 API 且不管理模型资产时可重点评估 TokenFactory,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：大模型时代下的AI中台.pptx#slide=21,待产品专家确认
客户要进行大模型训练、微调和量化,模型训练微调与量化,模型生产,Model Foundry,Corpus Studio,Model Foundry 负责训练、微调、量化和相关算力任务，Corpus Studio 可提供语料,具备可用训练数据、算力和验收目标,只有模型调用需求时不应推荐训练链路,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=21,待产品专家确认
客户要比较模型能力并进行安全或性能评测,模型评测与准入,模型治理,Model Foundry,AI Infra,Model Foundry 提供模型评测、对比和准入管理,需要在发布前比较模型与场景适配性,不能把单次压测结果承诺为生产性能,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=21,待产品专家确认
客户要把私有模型部署成稳定推理服务,模型部署与推理服务,模型服务化,Model Foundry + TokenFactory,AI Infra,Model Foundry 负责模型与部署，TokenFactory 负责统一服务和 Token 供给,模型已通过准入且具备推理算力,未确认硬件、精度、并发和 SLA 时不能承诺性能,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：平台介绍-AI转型 .pptx#slide=13,待产品专家确认
