客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
客户要统一管理文档、表格、图片、音频和视频并用于问答,多源多模态知识问答,企业知识问答,无涯·问知,TKH + 知识门户,问知支持多源、多模态知识接入、解析、检索和 RAG 问答,主要对象是非结构化或多模态知识,若核心是数据库自然语言查询，应选择无涯·问数,问知白皮书V2.0_20250718.pdf#page=3;page=5,待产品专家确认
员工要上传自己的资料建立仅本人使用的知识库,个人知识库,个人知识管理,无涯·问知,问知AIPC版,问知支持个人知识源和个人知识库问答,知识归个人且需要与企业共享区隔离,需要组织共享时应使用企业知识库与权限体系,问知白皮书V2.0_20250718.pdf#page=3;page=5;无涯问知功能清单与描述（引导参数）.xlsx#sheet=无涯问知v2.6.0,待产品专家确认
客户要建设按部门授权的企业知识库,企业知识库与组织权限,企业知识管理,TKH + 无涯·问知,知识门户,TKH/问知支持企业知识库、组织架构、角色和知识库权限,部门、角色和知识 Owner 已明确,不能把公有云预置库当作客户私有知识库,问知白皮书V2.0_20250718.pdf#page=6;page=9-10,待产品专家确认
客户要求回答能查看原文并追溯出处,引用溯源与原文预览,可信知识问答,无涯·问知,问知深度研究助手,问知提供参考文档原文预览和来源引用,知识源已合法接入且文档可解析,来源引用不等于结论绝对正确，仍需人工复核高风险答案,问知白皮书V2.0_20250718.pdf#page=5;无涯问知功能清单与描述（引导参数）.xlsx#sheet=无涯问知v2.6.0,待产品专家确认
客户既要快速问答，也要深度思考和多步搜索,常规问答、深度思考与深度搜索,分层问答模式,无涯·问知,问知深度研究助手,问知提供常规问答、深度思考和深度搜索模式,用户能根据问题复杂度选择模式,复杂研究流程不能只靠常规问答模式,问知白皮书V2.0_20250718.pdf#page=5,待产品专家确认
客户要把企业文档统一编目、检索和共享,企业知识门户,全域知识管理,TKH + 知识门户,无涯·问知,知识门户面向分类存储、编目、检索、权限和共享,需要组织级知识运营而非个人临时问答,门户不替代知识问答应用和内容审核流程,问知白皮书V2.0_20250718.pdf#page=6;THK白皮书V3.0(简版).pdf#page=1,待产品专家确认
客户希望生成公文、行业报告并做润色翻译和纠错,智能写作与文档生成,领域写作,无涯·问知,问知深度研究助手,问知提供大纲、写作、逐段编辑、润色、翻译、纠错和合规审核,需要基于指定知识与模板生成内容,正式公文和对外报告仍需人工审核,问知白皮书V2.0_20250718.pdf#page=7-8;page=11,待产品专家确认
客户要合同审核、财务审核、尽调、论文或视频解析助手,内置场景助手,开箱即用知识应用,无涯·问知,问知常规问答助手,问知内置数据分析、尽调、视频解析、合同、财务、论文、公文等助手,需求与内置助手范围匹配,具体助手和版本支持以当前功能清单为准,问知白皮书V2.0_20250718.pdf#page=8;page=10-12,待产品专家确认
业务人员要零代码配置客服或法规咨询机器人,常规问答类自定义助手,标准化问答应用,无涯·问知 + 问知常规问答助手,TKH,通过一句话指令、知识源和开场白快速配置高频标准化问答,任务边界清楚且答案主要来自知识库,需要跨系统执行或复杂研究时不应只用常规问答助手,问知白皮书V2.0_20250718.pdf#page=9,待产品专家确认
客户要配置研究框架、报告大纲、内部知识、数据库和互联网完成复杂研究,深度研究助手,企业复杂研究,无涯·问知 + 问知深度研究助手,无涯·问数,深度研究助手支持多源数据、多工具、研究思路和报告大纲配置,研究过程需要透明、可调整且结果需溯源,资料未确认的效率数字不能直接对客承诺,无涯问知深度研究助手产品介绍.pptx#slide=1-6;问知白皮书V2.0_20250718.pdf#page=9,待产品专家确认
客户要求知识库按组织、角色和单库读写权限隔离,RBAC、SSO与知识权限,知识安全治理,TKH + 无涯·问知,Co-Worker,问知支持组织、角色、知识库权限并可对接 SSO,客户已有身份体系和权限规则,具体 SSO 协议和权限粒度需按版本确认,问知白皮书V2.0_20250718.pdf#page=9-10,待产品专家确认
客户希望使用财经年报、新闻、法律和互联网预置知识,公域与预置知识源,外部知识服务,问知云端版,无涯·问知,问知云端形态可结合财经、法律和互联网知识源,客户接受云端服务和数据授权条件,私有化部署不自动包含公有云预置知识源,问知白皮书V2.0_20250718.pdf#page=3-5;page=7,待产品专家确认
客户要求企业文档和模型全部留在内网,私有化知识问答,数据不出域,问知企业版,TKH + Sophon LLMOps,问知企业版支持本地化部署和私有知识库,客户具备服务器、模型和运维条件,是否完全离线及外部模型调用需按部署配置确认,问知白皮书V2.0_20250718.pdf#page=4,待产品专家确认
个人用户希望在电脑本地运行问知并兼顾隐私,AIPC本地知识助手,个人本地问答,问知AIPC版,无涯问知AI工作站,AIPC 版面向个人电脑本地模型与知识使用,个人或小规模使用且硬件满足要求,AIPC 版与团队 AI 工作站、企业版不能混为一谈,问知白皮书V2.0_20250718.pdf#page=4,待产品专家确认
50人以内团队希望软硬件一体、开箱即用部署知识问答,AI工作站一体化交付,团队AI工作站,无涯问知AI工作站,问知企业版,AI 工作站资料定位为桌面级一体机和小团队开箱即用形态,团队规模、模型和并发符合正式配置,30 tokens/s、50 人等数字需以正式方案和压测为准,无涯问知AI工作站产品介绍202601.pptx#slide=1-3,待产品专家确认
业务人员要用自然语言查询企业数据库并返回图表,自然语言数据问答,智能问数,无涯·问数,TDS + 无涯·问数,问数把自然语言转换为查询并返回明细或可视化结果,数据源、主体和业务口径已准备,文档知识问答应使用无涯·问知,问数白皮书V2.0_20250718.pdf#page=4-5;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,待产品专家确认
