映射编号,销售复合需求,能力拆分,主推组合,产品分工,可选组合,适用条件,必须追问,排除条件,资料来源,资料冲突,推荐置信度,产品专家,审核状态,优化备注
LLM-M001,建设可进入业务流程的专家数字员工,业务知识；Agent开发；工具调用；统一资产；权限审计；会话运营,Agent Go + Knowledge Lodge + AI Infra,Agent Go：AgentBox 构建并发布 Agent Buddy、管理会话；Knowledge Lodge：生产可验证知识；AI Infra：Catalog、权限、审计和运行底座,增加 Corpus Studio 处理原始语料；增加 Model Foundry 管理私有模型,任务高频、输入输出明确、有业务 Owner 和可验证标准,首个数字员工的岗位、数据来源、工具、高风险动作和验收指标是什么？,重大金融或医疗决策不应作为首个无人值守场景,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=25;page=28;LLMOps3：平台介绍-AI转型 .pptx#slide=10-12;slide=20,无,高,待指定,待产品专家确认,
LLM-M002,升级企业知识库质量并建立持续治理闭环,语料准备；知识加工；多索引；来源版本；质量复测；资产治理,Knowledge Lodge + AI Infra + Corpus Studio,Knowledge Lodge：KB Agent、知识加工和检索；Corpus Studio：高质量语料生产；AI Infra：Catalog、Owner、权限和版本治理,仅已有高质量资料时可先用 Knowledge Lodge + AI Infra,需要从分散原始资料持续生产和更新知识资产,现有资料质量、更新频率、检索载体和专家验收题是什么？,只做传统结构化数据治理时应比较 TDS，而非直接套用本组合,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=25;page=29;LLMOps3：平台介绍-AI转型 .pptx#slide=6-8,无,高,待指定,待产品专家确认,
LLM-M003,统一多个模型服务并治理Token成本和SLA,模型注册；统一网关；路由；配额计量；故障切换；推理效能；成本观测,Model Foundry + TokenFactory + AI Infra,Model Foundry：模型与算力管理；TokenFactory：模型接入、路由、Token供给和效能；AI Infra：身份、权限、配额、审计和成本归属,仅外部模型 API 可先评估 TokenFactory + AI Infra,客户同时使用多模型或多算力，且需要生产级服务运营,模型来源、部署方式、SLA、峰值并发、降级策略和成本目标是什么？,未完成基准测试前不得承诺固定吞吐、时延或降本比例,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;page=25;LLMOps3：平台介绍-AI转型 .pptx#slide=13;LLMOps3：TokenFactory词元工厂.pptx#slide=9-11,无,高,待指定,待产品专家确认,
LLM-M004,建设统一企业AI生产与运营底座,语料；模型；知识；Agent；资产权限；运行运营,Corpus Studio + Model Foundry + Knowledge Lodge + Agent Go + AI Infra,Corpus Studio：语料；Model Foundry：模型与算力；Knowledge Lodge：知识；Agent Go：应用和数字员工；AI Infra：统一治理和运行底座,按首个高价值场景裁剪为三产品组合,企业希望形成可复制的完整 AI 生产链路，而非单个 PoC,优先场景、现有平台、部署方式、数据边界和三个月验收目标是什么？,预算或范围有限时不应一次性强推全部模块,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=25;page=29;LLMOps3：平台介绍-AI转型 .pptx#slide=5;slide=20,无,高,待指定,待产品专家确认,
LLM-M005,用自然语言和浏览器快速开发可上线的AI应用,Vibe Coding；工程护栏；沙箱；测试；资产复用；发布门禁,Agent Go + AgentBox + AI Infra,Agent Go/AgentBox：对话式开发、代码接管和工具链；AI Infra：资产、Secrets、权限、审计和发布治理,需要企业知识时增加 Knowledge Lodge,业务专家快速原型，同时由技术人员保证工程质量,目标应用、技术栈、外部系统、部署环境和上线验收标准是什么？,不能把快速原型等同于无测试、无审批的自动生产发布,LLMOps3：AgentGo 智能体平台.pptx#slide=5-11;LLMOps3：平台介绍-AI转型 .pptx#slide=9;slide=12,无,高,待指定,待产品专家确认,
LLM-M006,数字员工需要接入多个聊天渠道并保留统一会话和审计,渠道接入；路由；会话记录；Memory；反馈；工具审计；人工接管,Agent Go + Agent Session Manager + AI Infra,Agent Go：Agent Buddy 和渠道交互；Agent Session Manager：统一会话、Memory、路由和反馈；AI Infra：身份、权限和审计,需要知识问答时增加 Knowledge Lodge,目标渠道在当前版本支持范围内，且用户身份可映射,需要哪些渠道、是否外部联系人、上下文保留多久、哪些动作必须人工确认？,渠道名称出现在材料中不等于所有部署方式都无需适配,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=17;LLMOps3：平台介绍-AI转型 .pptx#slide=11;slide=18,无,高,待指定,待产品专家确认,
LLM-M007,把多源文档持续加工成可追溯的高质量RAG知识库,安全连接；增量同步；语料清洗；知识加工；多索引；来源版本；检索复测,Corpus Studio + Knowledge Lodge + AI Infra,Corpus Studio：连接、同步和语料加工；Knowledge Lodge：KB Agent、知识构建和检索；AI Infra：Catalog、权限、版本和审计,资料已经清洗好时可用 Knowledge Lodge + AI Infra,需要持续更新的多源文档和高质量 RAG,数据源、更新频率、文档类型、权限继承和专家测试集是什么？,未确认连接器和文档解析效果时不能承诺自动全量接入,LLMOps3：平台介绍-AI转型 .pptx#slide=6-8;slide=12;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=13,无,高,待指定,待产品专家确认,
LLM-M008,从训练微调到模型服务发布形成完整链路,训练语料；训练微调；模型评测；部署；统一服务；用量治理,Corpus Studio + Model Foundry + TokenFactory + AI Infra,Corpus Studio：训练语料；Model Foundry：训练、评测和部署；TokenFactory：统一服务和路由；AI Infra：资源、权限、审计和观测,已有模型时可省略 Corpus Studio 的训练语料环节,客户确实需要自有模型生产，而不仅是调用现成模型,模型类型、训练目标、数据规模、算力、精度和服务 SLA 是什么？,仅需接入外部模型时不应强推训练和微调模块,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=7-8;slide=21,无,高,待指定,待产品专家确认,
LLM-M009,在强监管场景上线可解释、可审计且可人工接管的Agent,可信知识；来源引用；权限；审批；人工接管；审计；验收回归,Agent Go + Knowledge Lodge + AI Infra,Knowledge Lodge：可验证知识和来源；Agent Go：Agent Buddy、人机协同和会话；AI Infra：权限、Secrets、审批、审计和发布门禁,原始材料复杂时增加 Corpus Studio,任务可拆分且最终责任由业务 Owner 承担,哪些结论属于高风险、谁审批、什么条件升级或阻断、如何验收？,不得承诺高风险决策完全无人值守,LLMOps3：平台介绍-AI转型 .pptx#slide=8;slide=10-12;slide=18,无,高,待指定,待产品专家确认,
LLM-M010,提高长上下文和多轮Agent的Token供给效率,长上下文；重复前缀；P/D分离；KV缓存；弹性；SLA；成本,TokenFactory + Model Foundry + AI Infra,TokenFactory：推理运行时、缓存、调度和路由；Model Foundry：模型与算力资源；AI Infra：资源治理、观测和成本归属,仅做统一模型接入时可先用 TokenFactory + AI Infra,存在长上下文、多轮会话或混合 SLA 推理负载,模型、硬件、精度、输入输出长度、并发和当前基线是多少？,材料中的百分比只适用于其测试条件，不能直接对客户承诺,LLMOps3：TokenFactory词元工厂.pptx#slide=2-10;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21,无,高,待指定,待产品专家确认,
